Postnummer;Poststed;Kommunenummer
0679;OSLO;0301
0680;OSLO;0301
0681;OSLO;0301
0682;OSLO;0301
0683;OSLO;0301
0684;OSLO;0301
0685;OSLO;0301
0686;OSLO;0301
0687;OSLO;0301
0688;OSLO;0301
0689;OSLO;0301
0690;OSLO;0301
0691;OSLO;0301
0692;OSLO;0301
0693;OSLO;0301
0694;OSLO;0301
0700;Oslo ;0301
0701;OSLO;0301
0702;OSLO;0301
0705;OSLO;0301
0710;OSLO;0301
0712;OSLO;0301
0750;OSLO;0301
0751;OSLO;0301
0752;OSLO;0301
0753;OSLO;0301
0754;OSLO;0301
0755;OSLO;0301
0756;OSLO;0301
0757;OSLO;0301
0758;OSLO;0301
0759;Oslo ;0301
0760;OSLO;0301
0763;OSLO;0301
0764;OSLO;0301
0765;OSLO;0301
0766;OSLO;0301
0767;OSLO;0301
0768;OSLO;0301
0770;OSLO;0301
0771;OSLO;0301
0772;OSLO;0301
0773;OSLO;0301
0774;OSLO;0301
0775;OSLO;0301
0776;OSLO;0301
0777;OSLO;0301
0778;OSLO;0301
0779;OSLO;0301
0781;OSLO;0301
0782;OSLO;0301
0783;OSLO;0301
0784;OSLO;0301
0785;OSLO;0301
0786;OSLO;0301
0787;OSLO;0301
0788;OSLO;0301
0789;OSLO;0301
0790;OSLO;0301
0791;OSLO;0301
0800;Oslo ;0301
0801;OSLO;0301
0805;OSLO;0301
0806;OSLO;0301
0807;OSLO;0301
0840;OSLO;0301
0850;OSLO;0301
0851;OSLO;0301
0852;OSLO;0301
0853;OSLO;0301
0854;OSLO;0301
0855;OSLO;0301
0856;OSLO;0301
0857;OSLO;0301
0858;OSLO;0301
0860;OSLO;0301
0861;OSLO;0301
0862;OSLO;0301
0863;OSLO;0301
0864;OSLO;0301
0870;OSLO;0301
0871;OSLO;0301
0872;OSLO;0301
0873;OSLO;0301
0874;OSLO;0301
0875;OSLO;0301
0876;OSLO;0301
0877;OSLO;0301
0880;OSLO;0301
0881;OSLO;0301
0882;OSLO;0301
0883;OSLO;0301
0884;OSLO;0301
0890;OSLO;0301
0891;OSLO;0301
0900;Oslo ;0301
0901;OSLO;0301
0902;OSLO;0301
0903;OSLO;0301
0904;OSLO;0301
0905;OSLO;0301
0907;OSLO;0301
0908;OSLO;0301
0913;OSLO;0301
0914;OSLO;0301
0915;OSLO;0301
0950;OSLO;0301
0951;OSLO;0301
0952;OSLO;0301
0953;OSLO;0301
0954;OSLO;0301
0955;OSLO;0301
0956;OSLO;0301
0957;OSLO;0301
0958;OSLO;0301
0959;OSLO;0301
0960;OSLO;0301
0962;OSLO;0301
0963;OSLO;0301
0964;OSLO;0301
0968;OSLO;0301
0969;OSLO;0301
0970;OSLO;0301
0971;OSLO;0301
0972;OSLO;0301
0973;OSLO;0301
0975;OSLO;0301
0976;OSLO;0301
0977;OSLO;0301
0978;OSLO;0301
0979;OSLO;0301
0980;OSLO;0301
0981;OSLO;0301
0982;OSLO;0301
0983;OSLO;0301
0984;OSLO;0301
0985;OSLO;0301
0986;OSLO;0301
0987;OSLO;0301
0988;OSLO;0301
1001;OSLO;0301
1003;OSLO;0301
1005;OSLO;0301
1006;OSLO;0301
1007;OSLO;0301
1008;OSLO;0301
1009;OSLO;0301
1011;OSLO;0301
1051;OSLO;0301
1052;OSLO;0301
1053;OSLO;0301
1054;OSLO;0301
1055;OSLO;0301
1056;OSLO;0301
1061;OSLO;0301
1062;OSLO;0301
1063;OSLO;0301
1064;OSLO;0301
1065;OSLO;0301
1067;OSLO;0301
1068;OSLO;0301
1069;OSLO;0301
1071;OSLO;0301
1081;OSLO;0301
1083;OSLO;0301
1084;OSLO;0301
1086;OSLO;0301
1087;OSLO;0301
1088;OSLO;0301
1089;OSLO;0301
1100;Oslo ;0301
1101;OSLO;0301
1102;OSLO;0301
1109;OSLO;0301
1112;OSLO;0301
1113;Oslo ;0301
1150;OSLO;0301
1151;OSLO;0301
1152;OSLO;0301
1153;OSLO;0301
1154;OSLO;0301
1155;OSLO;0301
1156;OSLO;0301
1157;OSLO;0301
1158;OSLO;0301
1160;OSLO;0301
1161;OSLO;0301
1162;OSLO;0301
1163;OSLO;0301
1164;OSLO;0301
1165;OSLO;0301
1166;OSLO;0301
1167;OSLO;0301
1168;OSLO;0301
1169;OSLO;0301
1170;OSLO;0301
1172;OSLO;0301
1176;OSLO;0301
1177;OSLO;0301
1178;OSLO;0301
1179;OSLO;0301
1181;OSLO;0301
1182;OSLO;0301
1184;OSLO;0301
1185;OSLO;0301
1187;OSLO;0301
1188;OSLO;0301
1189;OSLO;0301
1201;OSLO;0301
1203;OSLO;0301
1204;OSLO;0301
1205;OSLO;0301
1207;OSLO;0301
1214;OSLO;0301
1215;OSLO;0301
1250;OSLO;0301
1251;OSLO;0301
1252;OSLO;0301
1253;OSLO;0301
1254;OSLO;0301
1255;OSLO;0301
1256;OSLO;0301
1257;OSLO;0301
1258;OSLO;0301
1259;OSLO;0301
1262;OSLO;0301
1263;OSLO;0301
1266;OSLO;0301
1270;OSLO;0301
1271;OSLO;0301
1272;OSLO;0301
1273;OSLO;0301
1274;OSLO;0301
1275;OSLO;0301
1278;OSLO;0301
1279;OSLO;0301
1281;OSLO;0301
1283;OSLO;0301
1284;OSLO;0301
1285;OSLO;0301
1286;OSLO;0301
1290;OSLO;0301
1291;OSLO;0301
1294;OSLO;0301
1295;OSLO;0301
1300;SANDVIKA;0219
1301;SANDVIKA;0219
1302;SANDVIKA;0219
1303;SANDVIKA;0219
1304;SANDVIKA;0219
1305;HASLUM;0219
1306;SANDVIKA;0219
1307;FORNEBU;0219
1309;RUD;0219
1310;Blommenholm;0219
1311;HØVIKODDEN;0219
1312;SLEPENDEN;0219
1313;VØYENENGA;0219
1314;VØYENENGA;0219
1316;EIKSMARKA;0219
1317;BÆRUMS VERK;0219
1318;BEKKESTUA;0219
1319;BEKKESTUA;0219
1320;Stabekk;0220
1321;STABEKK;0219
1322;HØVIK;0219
1323;HØVIK;0219
1324;LYSAKER;0219
1325;LYSAKER;0219
1326;LYSAKER;0219
1327;LYSAKER;0219
1328;HØVIK;0219
1329;LOMMEDALEN;0219
1330;FORNEBU;0219
1331;FORNEBU;0219
1332;ØSTERÅS;0219
1333;KOLSÅS;0219
1334;RYKKINN;0219
1335;SNARØYA;0219
1336;SANDVIKA;0219
1337;SANDVIKA;0219
1338;SANDVIKA;0219
1339;VØYENENGA;0219
1340;SKUI;0219
1341;SLEPENDEN;0219
1342;GJETTUM;0219
1344;HASLUM;0219
1345;Østerås;0221
1346;GJETTUM;0219
1348;RYKKINN;0219
1349;RYKKINN;0219
1350;LOMMEDALEN;0219
1351;RUD;0219
1352;KOLSÅS;0219
1353;BÆRUMS VERK;0219
1354;BÆRUMS VERK;0219
1356;BEKKESTUA;0219
1357;BEKKESTUA;0219
1358;JAR;0219
1359;EIKSMARKA;0219
1360;FORNEBU;0219
1361;ØSTERÅS;0219
1362;HOSLE;0219
1363;HØVIK;0219
1364;FORNEBU;0219
1365;BLOMMENHOLM;0219
1366;LYSAKER;0219
1367;SNARØYA;0219
1368;STABEKK;0219
1369;STABEKK;0219
1370;Asker;0220
1371;ASKER;0220
1372;ASKER;0220
1373;ASKER;0220
1375;BILLINGSTAD;0220
1376;BILLINGSTAD;0220
1377;BILLINGSTAD;0220
1378;NESBRU;0220
1379;NESBRU;0220
1380;HEGGEDAL;0220
1381;VETTRE;0220
1383;ASKER;0220
1384;ASKER;0220
1385;ASKER;0220
1386;ASKER;0220
1387;ASKER;0220
1388;BORGEN;0220
1389;HEGGEDAL;0220
1390;VOLLEN;0220
1391;VOLLEN;0220
1392;VETTRE;0220
1393;VOLLEN;0220
1394;NESBRU;0220
1395;HVALSTAD;0220
1396;BILLINGSTAD;0220
1397;NESØYA;0220
1399;ASKER;0220
